## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.2589e+00   1.2566e+00   2.2027e-01   1.5465e-05   2.1139e-07   6.4796e-09  -3.8306e-08   6.3784e-08   6.3784e-08   4.4858e+07   2.7853e+05
  1.9953e+00   2.0050e+00   6.8855e-01   1.2131e-05   7.0748e-07  -4.1572e-08  -1.0306e-07   3.6414e-08   3.6414e-08   1.3763e+08   8.5332e+05
  3.1623e+00   3.2542e+00   1.1713e+00   8.8395e-06   1.2911e-06  -3.0345e-09   7.0449e-08   2.2065e-08   2.2065e-08   3.7483e+08   2.3255e+06
  5.0119e+00   5.2376e+00   1.6481e+00   6.0711e-06   1.6149e-06   5.1659e-09   1.9698e-11   1.4116e-08   1.4116e-08   9.1586e+08   5.6789e+06
  7.9433e+00   8.2953e+00   2.1084e+00   4.0110e-06   1.5775e-06   3.2418e-09  -5.2097e-10   9.0017e-09   9.0017e-09   2.2522e+09   1.3958e+07
  1.2589e+01   1.3144e+01   2.5686e+00   2.5978e-06   1.3934e-06  -2.8201e-09  -2.4921e-09   5.6635e-09   5.6635e-09   5.6897e+09   3.5280e+07
  1.9953e+01   2.0844e+01   3.0297e+00   1.7051e-06   1.0744e-06  -4.6307e-09  -2.1858e-09   3.5757e-09   3.5757e-09   1.4273e+10   8.8542e+07
  3.1623e+01   3.3044e+01   3.4905e+00   1.1348e-06   7.6807e-07  -3.5296e-09   1.8120e-09   2.2565e-09   2.2565e-09   3.5843e+10   2.2236e+08
  5.0119e+01   5.2381e+01   3.9511e+00   7.5219e-07   5.2333e-07  -5.8308e-09   6.2811e-10   1.4241e-09   1.4241e-09   8.9990e+10   5.5827e+08
  7.9433e+01   8.3026e+01   4.4117e+00   4.9113e-07   3.4978e-07  -1.1046e-09  -9.7176e-11   8.9861e-10   8.9861e-10   2.2601e+11   1.4020e+09
