## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.2589e+00   1.2545e+00   2.1874e-01   7.7458e-05   3.4065e-06   1.6947e-08   9.4132e-08   1.3706e-08   1.3706e-08   1.2461e+08   1.2461e+08
  1.9953e+00   2.0117e+00   6.9249e-01   5.7163e-05   5.5029e-06   5.6010e-08   5.8847e-09   7.7232e-09   7.7232e-09   3.9243e+08   3.9243e+08
  3.1623e+00   3.2671e+00   1.1759e+00   3.8388e-05   8.9576e-06   2.5115e-08   1.4070e-08   4.7081e-09   4.7081e-09   1.0560e+09   1.0560e+09
  5.0119e+00   5.2419e+00   1.6493e+00   2.5407e-05   9.9028e-06   1.7838e-08  -8.3023e-09   3.0188e-09   3.0188e-09   2.5685e+09   2.5685e+09
  7.9433e+00   8.3064e+00   2.1097e+00   1.7078e-05   8.6255e-06   9.4883e-09   1.6903e-09   1.9131e-09   1.9131e-09   6.3954e+09   6.3954e+09
  1.2589e+01   1.3158e+01   2.5696e+00   1.1639e-05   6.5853e-06   1.1373e-09   3.4819e-09   1.2073e-09   1.2073e-09   1.6059e+10   1.6059e+10
  1.9953e+01   2.0855e+01   3.0302e+00   7.8993e-06   4.6770e-06   3.3230e-09  -1.9058e-09   7.6192e-10   7.6192e-10   4.0323e+10   4.0323e+10
  3.1623e+01   3.3061e+01   3.4908e+00   5.1802e-06   3.2618e-06   1.4932e-09  -2.3995e-09   4.8070e-10   4.8070e-10   1.0130e+11   1.0130e+11
  5.0119e+01   5.2397e+01   3.9514e+00   3.1930e-06   2.3093e-06   1.7886e-08  -2.5221e-09   3.0350e-10   3.0350e-10   2.5413e+11   2.5413e+11
  7.9433e+01   8.3066e+01   4.4121e+00   1.8028e-06   1.6660e-06   1.6831e-08  -2.4315e-09   1.9138e-10   1.9138e-10   6.3908e+11   6.3908e+11
