## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.2589e+00   1.2558e+00   2.1966e-01   9.8253e-06   1.5871e-06   3.7557e-06   3.7924e-06   2.5919e-06   2.5919e-06   3.1316e+07   1.7532e+05
  1.9953e+00   2.0049e+00   6.8851e-01   7.8246e-06  -1.5630e-07   1.5239e-06  -2.8535e-06   1.4919e-06   1.4919e-06   9.4515e+07   5.2858e+05
  3.1623e+00   3.2533e+00   1.1710e+00   7.4628e-06   1.1312e-06  -9.2725e-07  -7.7425e-07   9.0859e-07   9.0859e-07   2.5484e+08   1.4259e+06
  5.0119e+00   5.2355e+00   1.6477e+00   3.4670e-06   8.8271e-07   7.1840e-07  -8.2794e-08   5.8421e-07   5.8421e-07   6.1639e+08   3.4476e+06
  7.9433e+00   8.2926e+00   2.1080e+00   2.1080e-06   7.3913e-07  -5.4603e-07  -3.4013e-07   3.7356e-07   3.7356e-07   1.5076e+09   8.4297e+06
  1.2589e+01   1.3141e+01   2.5684e+00   2.2311e-06   3.7424e-07   1.4409e-07   2.4024e-07   2.3529e-07   2.3529e-07   3.8001e+09   2.1255e+07
  1.9953e+01   2.0841e+01   3.0296e+00   1.0275e-06   8.0575e-07  -3.0875e-07   1.2207e-07   1.4871e-07   1.4871e-07   9.5136e+09   5.3220e+07
  3.1623e+01   3.3040e+01   3.4904e+00   7.5164e-07   5.1500e-07  -1.2307e-07  -9.2554e-08   9.3907e-08   9.3907e-08   2.3856e+10   1.3348e+08
  5.0119e+01   5.2375e+01   3.9510e+00   5.2390e-07   3.0640e-07   7.1888e-09  -3.8561e-08   5.9295e-08   5.9295e-08   5.9835e+10   3.3479e+08
  7.9433e+01   8.3025e+01   4.4117e+00   3.2189e-07   2.8107e-07   1.1697e-08  -3.9881e-08   3.7428e-08   3.7428e-08   1.5017e+11   8.4025e+08
