## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.2589e+00   1.2545e+00   2.1874e-01   8.2543e-05   8.9463e-06  -2.1290e-05   5.6430e-06   1.2252e-05   1.2252e-05   1.2461e+08   1.2461e+08
  1.9953e+00   2.0117e+00   6.9249e-01   5.5660e-05   6.5256e-06   1.6673e-06   1.5383e-05   6.9040e-06   6.9040e-06   3.9243e+08   3.9243e+08
  3.1623e+00   3.2671e+00   1.1759e+00   3.9911e-05   5.2117e-06  -9.9922e-07  -6.7418e-07   4.2087e-06   4.2087e-06   1.0560e+09   1.0560e+09
  5.0119e+00   5.2419e+00   1.6493e+00   2.5098e-05   9.2879e-06  -4.7894e-07   8.5281e-06   2.6986e-06   2.6986e-06   2.5685e+09   2.5685e+09
  7.9433e+00   8.3064e+00   2.1097e+00   1.7415e-05   9.0236e-06  -3.7774e-08   2.9220e-06   1.7102e-06   1.7102e-06   6.3954e+09   6.3954e+09
  1.2589e+01   1.3158e+01   2.5696e+00   1.2987e-05   6.2641e-06  -1.7166e-07  -1.4432e-07   1.0793e-06   1.0793e-06   1.6059e+10   1.6059e+10
  1.9953e+01   2.0855e+01   3.0302e+00   1.0101e-05   4.1782e-06   3.3495e-07   1.5925e-07   6.8110e-07   6.8110e-07   4.0323e+10   4.0323e+10
  3.1623e+01   3.3061e+01   3.4908e+00   5.4227e-06   4.2804e-06   4.7107e-07  -3.0389e-07   4.2971e-07   4.2971e-07   1.0130e+11   1.0130e+11
  5.0119e+01   5.2397e+01   3.9514e+00   3.2450e-06   2.6118e-06  -1.4924e-07  -5.0703e-07   2.7130e-07   2.7130e-07   2.5413e+11   2.5413e+11
  7.9433e+01   8.3066e+01   4.4121e+00   2.1547e-06   1.4378e-06  -1.2446e-07  -1.0764e-07   1.7108e-07   1.7108e-07   6.3908e+11   6.3908e+11
